variant,metric,estimate,ci_low,ci_high,support_size
evidence_gated_topocap,macro_component_log_mae,0.309789420970274,0.2500639595041496,0.39489145751390725,16
evidence_gated_topocap,macro_relative_frobenius,0.23962123165089685,0.20691349297318518,0.2737856048238452,16
evidence_gated_topocap,physical_valid_rate,1.0,1.0,1.0,16
evidence_gated_topocap,paired_gain_vs_target_control,0.019727242691000905,0.004944900239157572,0.03348961485477186,16
evidence_gated_topocap,negative_transfer_rate_vs_target_control,0.3697206515636937,0.28837151942782924,0.45943350036286534,16
shuffled_source_ebra,macro_component_log_mae,0.31989951017804147,0.265283401660892,0.393731964493329,16
shuffled_source_ebra,macro_relative_frobenius,0.2569580245380453,0.2329967000133882,0.28025014110985924,16
shuffled_source_ebra,physical_valid_rate,1.0,1.0,1.0,16
shuffled_source_ebra,paired_gain_vs_target_control,0.009617153483233437,-0.017869382570236764,0.03676111076308132,16
shuffled_source_ebra,negative_transfer_rate_vs_target_control,0.4252536971964783,0.27670157617598357,0.5807702647968405,16
shuffled_source_retrieval_2048_ebra,macro_component_log_mae,0.3070447028674534,0.24655366766550843,0.3895063601789683,16
shuffled_source_retrieval_2048_ebra,macro_relative_frobenius,0.2357215010082963,0.20713855104816326,0.26529930424204085,16
shuffled_source_retrieval_2048_ebra,physical_valid_rate,1.0,1.0,1.0,16
shuffled_source_retrieval_2048_ebra,paired_gain_vs_target_control,0.022471960793821487,-0.0056619597989102525,0.05004541161998531,16
shuffled_source_retrieval_2048_ebra,negative_transfer_rate_vs_target_control,0.3848875083743775,0.23022851336163822,0.5509046536166047,16
shuffled_v0_gaussian64_ebra,macro_component_log_mae,0.3596274457094298,0.29692330895393826,0.4324837470653519,16
shuffled_v0_gaussian64_ebra,macro_relative_frobenius,0.28194916593210134,0.2434715191405177,0.3224345980438657,16
shuffled_v0_gaussian64_ebra,physical_valid_rate,1.0,1.0,1.0,16
shuffled_v0_gaussian64_ebra,paired_gain_vs_target_control,-0.030110782048154795,-0.09047011064313093,0.028142719007050176,16
shuffled_v0_gaussian64_ebra,negative_transfer_rate_vs_target_control,0.4345559909894667,0.2596034611976232,0.6042153477003012,16
source_active_gds_ebra,macro_component_log_mae,0.39982160029931435,0.29303214968466695,0.5739256373540806,16
source_active_gds_ebra,macro_relative_frobenius,0.3448800737142272,0.23769453494690665,0.4999844456008326,16
source_active_gds_ebra,physical_valid_rate,1.0,1.0,1.0,16
source_active_gds_ebra,paired_gain_vs_target_control,-0.07030493663803941,-0.17258926989892107,-0.004013157902621401,16
source_active_gds_ebra,negative_transfer_rate_vs_target_control,0.5061618686609733,0.3978380844813167,0.6363673505340228,16
source_all_cached_descriptors_ebra,macro_component_log_mae,0.33094387690962246,0.2757073909324893,0.42770981279172593,16
source_all_cached_descriptors_ebra,macro_relative_frobenius,0.26259678033835165,0.21617854735589143,0.3239265107294595,16
source_all_cached_descriptors_ebra,physical_valid_rate,1.0,1.0,1.0,16
source_all_cached_descriptors_ebra,paired_gain_vs_target_control,-0.0014272132483475364,-0.02916765105146145,0.02874329905109031,16
source_all_cached_descriptors_ebra,negative_transfer_rate_vs_target_control,0.4045019199920543,0.32483649382478963,0.48187645556870257,16
source_control_ebra,macro_component_log_mae,0.3193997582324141,0.26590970554748433,0.39504408975816374,16
source_control_ebra,macro_relative_frobenius,0.2643012401493093,0.23393208633012808,0.2985870522147997,16
source_control_ebra,physical_valid_rate,1.0,1.0,1.0,16
source_control_ebra,paired_gain_vs_target_control,0.010116905428860751,-0.010966083125759708,0.03160846646549263,16
source_control_ebra,paired_gain_vs_shuffled_source,0.0004997519456273174,-0.007801302530187274,0.008419397294572554,16
source_control_ebra,negative_transfer_rate_vs_target_control,0.407845454459734,0.28587919591327665,0.5366362290062827,16
source_control_foundation,macro_component_log_mae,0.5187297608668194,0.4703098492651014,0.5840902171295773,16
source_control_foundation,macro_relative_frobenius,0.37835749231238036,0.35765669326814353,0.3980213272497046,16
source_control_foundation,physical_valid_rate,1.0,1.0,1.0,16
source_control_foundation,paired_gain_vs_target_control,-0.1892130972055446,-0.22695942705083694,-0.15125390335016356,16
source_control_foundation,negative_transfer_rate_vs_target_control,0.8315204912915874,0.7607697744964216,0.893168965695559,16
source_retrieval_2048_ebra,macro_component_log_mae,0.2930040054379872,0.24199044784275162,0.3622985978205141,16
source_retrieval_2048_ebra,macro_relative_frobenius,0.242189768710967,0.20426508974159752,0.2887009001251506,16
source_retrieval_2048_ebra,physical_valid_rate,1.0,1.0,1.0,16
source_retrieval_2048_ebra,paired_gain_vs_target_control,0.03651265822328771,0.002932139816682387,0.06967483791973769,16
source_retrieval_2048_ebra,paired_gain_vs_shuffled_source,0.01404069742946622,0.0037133821004436455,0.02851631826107268,16
source_retrieval_2048_ebra,negative_transfer_rate_vs_target_control,0.3104551682837756,0.15189336922978264,0.4792768158310375,16
target_active_gds_specialist,macro_component_log_mae,0.2589879443339477,0.199899725834064,0.3563522643877446,16
target_active_gds_specialist,macro_relative_frobenius,0.17045279138711758,0.1406814835900325,0.20961172817771218,16
target_active_gds_specialist,physical_valid_rate,1.0,1.0,1.0,16
target_active_gds_specialist,paired_gain_vs_target_control,0.07052871932732721,0.05255676036687255,0.08755404023825225,16
target_active_gds_specialist,negative_transfer_rate_vs_target_control,0.18081254115333384,0.11835759573349226,0.25015617816465563,16
target_control_scratch,macro_component_log_mae,0.3295166636612749,0.27002252395406,0.41676315501646394,16
target_control_scratch,macro_relative_frobenius,0.2418637784266861,0.2139413185998621,0.2745301347100354,16
target_control_scratch,physical_valid_rate,1.0,1.0,1.0,16
target_control_scratch,paired_gain_vs_target_control,0.0,0.0,0.0,16
target_control_scratch,negative_transfer_rate_vs_target_control,0.0,0.0,0.0,16
target_v0_gaussian64_scratch,macro_component_log_mae,0.3492873575222638,0.2936538053846801,0.42856866734337873,16
target_v0_gaussian64_scratch,macro_relative_frobenius,0.25401322201352916,0.23511211575274432,0.2737941392930518,16
target_v0_gaussian64_scratch,physical_valid_rate,1.0,1.0,1.0,16
target_v0_gaussian64_scratch,paired_gain_vs_target_control,-0.019770693860988967,-0.032379293139143964,-0.008666962292772796,16
target_v0_gaussian64_scratch,negative_transfer_rate_vs_target_control,0.6075263414962172,0.5462599619410942,0.6790226249029291,16
v0_gaussian64_ebra,macro_component_log_mae,0.4042854046974277,0.3359476970744169,0.4846799177390994,16
v0_gaussian64_ebra,macro_relative_frobenius,0.3302248127904793,0.2906190364192127,0.374299315978025,16
v0_gaussian64_ebra,physical_valid_rate,1.0,1.0,1.0,16
v0_gaussian64_ebra,paired_gain_vs_target_control,-0.07476874103615275,-0.15737876529150213,0.000821151544181865,16
v0_gaussian64_ebra,paired_gain_vs_shuffled_source,-0.04465795898799796,-0.06819212791300014,-0.02413320337434663,16
v0_gaussian64_ebra,negative_transfer_rate_vs_target_control,0.52364119365052,0.35126091585357816,0.6881534166999107,16
evidence gate chose foundation,gate_choice_rate,0.0,0.0,0.0,16
evidence gate chose transfer,gate_choice_rate,0.6900000000000002,0.6,0.7700000000000001,16
evidence gate chose specialist,gate_choice_rate,0.31,0.22000000000000003,0.4,16
