check,node_count,value,tolerance,passed,evidence_type
permutation_equivariance,2,0.0,1e-08,True,architecture property test
symmetry,2,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,2,0.0,0.0,True,architecture property test
diagonal_dominance_violation,2,0.0,1e-09,True,architecture property test
psd_violation,2,0.0,1e-09,True,architecture property test
component_reconstruction,2,0.0,1e-10,True,architecture property test
permutation_equivariance,3,0.0,1e-08,True,architecture property test
symmetry,3,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,3,0.0,0.0,True,architecture property test
diagonal_dominance_violation,3,0.0,1e-09,True,architecture property test
psd_violation,3,0.0,1e-09,True,architecture property test
component_reconstruction,3,0.0,1e-10,True,architecture property test
permutation_equivariance,4,8.881784197001252e-16,1e-08,True,architecture property test
symmetry,4,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,4,0.0,0.0,True,architecture property test
diagonal_dominance_violation,4,0.0,1e-09,True,architecture property test
psd_violation,4,0.0,1e-09,True,architecture property test
component_reconstruction,4,0.0,1e-10,True,architecture property test
permutation_equivariance,5,0.0,1e-08,True,architecture property test
symmetry,5,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,5,0.0,0.0,True,architecture property test
diagonal_dominance_violation,5,0.0,1e-09,True,architecture property test
psd_violation,5,0.0,1e-09,True,architecture property test
component_reconstruction,5,7.105427357601002e-15,1e-10,True,architecture property test
permutation_equivariance,6,0.0,1e-08,True,architecture property test
symmetry,6,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,6,0.0,0.0,True,architecture property test
diagonal_dominance_violation,6,0.0,1e-09,True,architecture property test
psd_violation,6,0.0,1e-09,True,architecture property test
component_reconstruction,6,1.4210854715202004e-14,1e-10,True,architecture property test
permutation_equivariance,7,0.0,1e-08,True,architecture property test
symmetry,7,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,7,0.0,0.0,True,architecture property test
diagonal_dominance_violation,7,0.0,1e-09,True,architecture property test
psd_violation,7,0.0,1e-09,True,architecture property test
component_reconstruction,7,1.4210854715202004e-14,1e-10,True,architecture property test
permutation_equivariance,8,0.0,1e-08,True,architecture property test
symmetry,8,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,8,0.0,0.0,True,architecture property test
diagonal_dominance_violation,8,0.0,1e-09,True,architecture property test
psd_violation,8,0.0,1e-09,True,architecture property test
component_reconstruction,8,1.4210854715202004e-14,1e-10,True,architecture property test
permutation_equivariance,9,0.0,1e-08,True,architecture property test
symmetry,9,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,9,0.0,0.0,True,architecture property test
diagonal_dominance_violation,9,0.0,1e-09,True,architecture property test
psd_violation,9,0.0,1e-09,True,architecture property test
component_reconstruction,9,5.684341886080802e-14,1e-10,True,architecture property test
permutation_equivariance,10,0.0,1e-08,True,architecture property test
symmetry,10,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,10,0.0,0.0,True,architecture property test
diagonal_dominance_violation,10,0.0,1e-09,True,architecture property test
psd_violation,10,0.0,1e-09,True,architecture property test
component_reconstruction,10,2.842170943040401e-14,1e-10,True,architecture property test
permutation_equivariance,11,0.0,1e-08,True,architecture property test
symmetry,11,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,11,0.0,0.0,True,architecture property test
diagonal_dominance_violation,11,0.0,1e-09,True,architecture property test
psd_violation,11,0.0,1e-09,True,architecture property test
component_reconstruction,11,8.526512829121202e-14,1e-10,True,architecture property test
permutation_equivariance,12,0.0,1e-08,True,architecture property test
symmetry,12,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,12,0.0,0.0,True,architecture property test
diagonal_dominance_violation,12,0.0,1e-09,True,architecture property test
psd_violation,12,0.0,1e-09,True,architecture property test
component_reconstruction,12,3.552713678800501e-15,1e-10,True,architecture property test
permutation_equivariance,13,3.552713678800501e-15,1e-08,True,architecture property test
symmetry,13,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,13,0.0,0.0,True,architecture property test
diagonal_dominance_violation,13,0.0,1e-09,True,architecture property test
psd_violation,13,0.0,1e-09,True,architecture property test
component_reconstruction,13,8.526512829121202e-14,1e-10,True,architecture property test
permutation_equivariance,14,3.552713678800501e-15,1e-08,True,architecture property test
symmetry,14,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,14,0.0,0.0,True,architecture property test
diagonal_dominance_violation,14,0.0,1e-09,True,architecture property test
psd_violation,14,0.0,1e-09,True,architecture property test
component_reconstruction,14,3.552713678800501e-15,1e-10,True,architecture property test
permutation_equivariance,15,3.552713678800501e-15,1e-08,True,architecture property test
symmetry,15,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,15,0.0,0.0,True,architecture property test
diagonal_dominance_violation,15,0.0,1e-09,True,architecture property test
psd_violation,15,0.0,1e-09,True,architecture property test
component_reconstruction,15,5.684341886080802e-14,1e-10,True,architecture property test
permutation_equivariance,16,0.0,1e-08,True,architecture property test
symmetry,16,0.0,1e-09,True,architecture property test
offdiagonal_sign_violations,16,0.0,0.0,True,architecture property test
diagonal_dominance_violation,16,0.0,1e-09,True,architecture property test
psd_violation,16,0.0,1e-09,True,architecture property test
component_reconstruction,16,1.1368683772161603e-13,1e-10,True,architecture property test
checkpoint_roundtrip,3,0.0,0.0,True,serialization property test
