method,curve,x,y,support_size
evidence_gated_topocap (K=16),calibration,0.5,0.7052600034111682,16
evidence_gated_topocap (K=16),calibration,0.8,0.9440370182384504,16
evidence_gated_topocap (K=16),calibration,0.9,0.980214656884302,16
evidence_gated_topocap (K=16),calibration,0.95,0.9892041313603821,16
evidence_gated_topocap (K=16),risk_coverage,0.00011185682326621924,0.18468708706437784,16
evidence_gated_topocap (K=16),risk_coverage,0.04172259507829978,0.18912088443315875,16
evidence_gated_topocap (K=16),risk_coverage,0.08344519015659956,0.1897610597886452,16
evidence_gated_topocap (K=16),risk_coverage,0.1250559284116331,0.19332974522033408,16
evidence_gated_topocap (K=16),risk_coverage,0.16677852348993288,0.1946482860661655,16
evidence_gated_topocap (K=16),risk_coverage,0.20838926174496644,0.20231787516831728,16
evidence_gated_topocap (K=16),risk_coverage,0.2501118568232662,0.21115288929652928,16
evidence_gated_topocap (K=16),risk_coverage,0.2917225950782998,0.22029680861606987,16
evidence_gated_topocap (K=16),risk_coverage,0.33344519015659957,0.23138066743772462,16
evidence_gated_topocap (K=16),risk_coverage,0.3750559284116331,0.24126695012957616,16
evidence_gated_topocap (K=16),risk_coverage,0.4167785234899329,0.247686820441477,16
evidence_gated_topocap (K=16),risk_coverage,0.45838926174496647,0.25258477624152365,16
evidence_gated_topocap (K=16),risk_coverage,0.5001118568232662,0.2578031944179803,16
evidence_gated_topocap (K=16),risk_coverage,0.5417225950782998,0.26243384531571684,16
evidence_gated_topocap (K=16),risk_coverage,0.5833333333333334,0.2658040912685528,16
evidence_gated_topocap (K=16),risk_coverage,0.6250559284116332,0.2684267021202587,16
evidence_gated_topocap (K=16),risk_coverage,0.6666666666666666,0.2722593406156102,16
evidence_gated_topocap (K=16),risk_coverage,0.7083892617449664,0.27500531910434944,16
evidence_gated_topocap (K=16),risk_coverage,0.75,0.27725185782213346,16
evidence_gated_topocap (K=16),risk_coverage,0.7917225950782998,0.27840982716796703,16
evidence_gated_topocap (K=16),risk_coverage,0.8333333333333334,0.280472739239041,16
evidence_gated_topocap (K=16),risk_coverage,0.8750559284116332,0.281848299935083,16
evidence_gated_topocap (K=16),risk_coverage,0.9166666666666666,0.2848962293565569,16
evidence_gated_topocap (K=16),risk_coverage,0.9583892617449664,0.29153873266161334,16
evidence_gated_topocap (K=16),risk_coverage,1.0,0.3112650317949921,16
shuffled_source_ebra (K=16),calibration,0.5,0.8786558690064382,16
shuffled_source_ebra (K=16),calibration,0.8,0.9810494819743972,16
shuffled_source_ebra (K=16),calibration,0.9,0.9837455197132615,16
shuffled_source_ebra (K=16),calibration,0.95,0.9851612903225806,16
shuffled_source_ebra (K=16),risk_coverage,0.00011185682326621924,0.25360267584631674,16
shuffled_source_ebra (K=16),risk_coverage,0.04172259507829978,0.2869846486489498,16
shuffled_source_ebra (K=16),risk_coverage,0.08344519015659956,0.2959370327812165,16
shuffled_source_ebra (K=16),risk_coverage,0.1250559284116331,0.29886340549534335,16
shuffled_source_ebra (K=16),risk_coverage,0.16677852348993288,0.29979361470603993,16
shuffled_source_ebra (K=16),risk_coverage,0.20838926174496644,0.3024661588188692,16
shuffled_source_ebra (K=16),risk_coverage,0.2501118568232662,0.30262406773180894,16
shuffled_source_ebra (K=16),risk_coverage,0.2917225950782998,0.30435198732558005,16
shuffled_source_ebra (K=16),risk_coverage,0.33344519015659957,0.3046843823425646,16
shuffled_source_ebra (K=16),risk_coverage,0.3750559284116331,0.3066167279835814,16
shuffled_source_ebra (K=16),risk_coverage,0.4167785234899329,0.3085190716815137,16
shuffled_source_ebra (K=16),risk_coverage,0.45838926174496647,0.3107819464809733,16
shuffled_source_ebra (K=16),risk_coverage,0.5001118568232662,0.31055570337451954,16
shuffled_source_ebra (K=16),risk_coverage,0.5417225950782998,0.31161768210280016,16
shuffled_source_ebra (K=16),risk_coverage,0.5833333333333334,0.3125515318746762,16
shuffled_source_ebra (K=16),risk_coverage,0.6250559284116332,0.3121197233202782,16
shuffled_source_ebra (K=16),risk_coverage,0.6666666666666666,0.31253408699919455,16
shuffled_source_ebra (K=16),risk_coverage,0.7083892617449664,0.3128407948526856,16
shuffled_source_ebra (K=16),risk_coverage,0.75,0.31332019339514317,16
shuffled_source_ebra (K=16),risk_coverage,0.7917225950782998,0.3138400549675126,16
shuffled_source_ebra (K=16),risk_coverage,0.8333333333333334,0.3137077139631158,16
shuffled_source_ebra (K=16),risk_coverage,0.8750559284116332,0.3139768878446812,16
shuffled_source_ebra (K=16),risk_coverage,0.9166666666666666,0.3146968726355721,16
shuffled_source_ebra (K=16),risk_coverage,0.9583892617449664,0.3169777648292532,16
shuffled_source_ebra (K=16),risk_coverage,1.0,0.3204674834510218,16
shuffled_source_retrieval_2048_ebra (K=16),calibration,0.5,0.9726086786550653,16
shuffled_source_retrieval_2048_ebra (K=16),calibration,0.8,0.9906228640493455,16
shuffled_source_retrieval_2048_ebra (K=16),calibration,0.9,0.9948387096774194,16
shuffled_source_retrieval_2048_ebra (K=16),calibration,0.95,0.9965949820788529,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.00011185682326621924,0.248719100714063,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.04172259507829978,0.2670860030345679,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.08344519015659956,0.2631152520721333,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.1250559284116331,0.2604711180816101,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.16677852348993288,0.26574197837508606,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.20838926174496644,0.26846911582330113,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.2501118568232662,0.2734765903013833,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.2917225950782998,0.2791391198481048,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.33344519015659957,0.2806568798022506,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.3750559284116331,0.2809091426325084,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.4167785234899329,0.2846427842704676,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.45838926174496647,0.284720652808947,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.5001118568232662,0.286391345597905,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.5417225950782998,0.2919489419033483,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.5833333333333334,0.29342723927805525,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.6250559284116332,0.29368578850282573,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.6666666666666666,0.2925827069412222,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.7083892617449664,0.29305490020330005,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.75,0.29683739117543007,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.7917225950782998,0.2969065706591209,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.8333333333333334,0.298924638560903,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.8750559284116332,0.2997219883936133,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.9166666666666666,0.29949103071380206,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,0.9583892617449664,0.30099552581572725,16
shuffled_source_retrieval_2048_ebra (K=16),risk_coverage,1.0,0.30750447240237294,16
shuffled_v0_gaussian64_ebra (K=16),calibration,0.5,0.9472501578252586,16
shuffled_v0_gaussian64_ebra (K=16),calibration,0.8,0.9838259289819596,16
shuffled_v0_gaussian64_ebra (K=16),calibration,0.9,0.9901971326164875,16
shuffled_v0_gaussian64_ebra (K=16),calibration,0.95,0.9963082437275986,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.00011185682326621924,0.24160759117077416,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.04172259507829978,0.26852730342975584,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.08344519015659956,0.26340359301926575,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.1250559284116331,0.2659919311630388,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.16677852348993288,0.2717759705842328,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.20838926174496644,0.27262400811016735,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.2501118568232662,0.2753735834364621,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.2917225950782998,0.27801361084951626,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.33344519015659957,0.2802054674842443,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.3750559284116331,0.28194591805860075,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.4167785234899329,0.28314887068443684,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.45838926174496647,0.2864470438049829,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.5001118568232662,0.2894103961068725,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.5417225950782998,0.29347471018110577,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.5833333333333334,0.2975575361418328,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.6250559284116332,0.301435655703423,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.6666666666666666,0.30418417690642197,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.7083892617449664,0.3070405835296933,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.75,0.30988410016342377,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.7917225950782998,0.3131062396128489,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.8333333333333334,0.31709333036382403,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.8750559284116332,0.3227132128742103,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.9166666666666666,0.3310909271158143,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,0.9583892617449664,0.3436578683295149,16
shuffled_v0_gaussian64_ebra (K=16),risk_coverage,1.0,0.35940502743276126,16
source_active_gds_ebra (K=16),calibration,0.5,0.9100283973354548,16
source_active_gds_ebra (K=16),calibration,0.8,0.9962048588977572,16
source_active_gds_ebra (K=16),calibration,0.9,0.9996738549516327,16
source_active_gds_ebra (K=16),calibration,0.95,0.9999431818181819,16
source_active_gds_ebra (K=16),risk_coverage,0.00011185682326621924,0.07196898557242369,16
source_active_gds_ebra (K=16),risk_coverage,0.04172259507829978,0.16539343435572967,16
source_active_gds_ebra (K=16),risk_coverage,0.08344519015659956,0.17520207842971255,16
source_active_gds_ebra (K=16),risk_coverage,0.1250559284116331,0.18408315749967205,16
source_active_gds_ebra (K=16),risk_coverage,0.16677852348993288,0.19223171273594092,16
source_active_gds_ebra (K=16),risk_coverage,0.20838926174496644,0.20099468141081542,16
source_active_gds_ebra (K=16),risk_coverage,0.2501118568232662,0.20679620630028647,16
source_active_gds_ebra (K=16),risk_coverage,0.2917225950782998,0.21355405161144672,16
source_active_gds_ebra (K=16),risk_coverage,0.33344519015659957,0.22113290021599544,16
source_active_gds_ebra (K=16),risk_coverage,0.3750559284116331,0.22760233624253068,16
source_active_gds_ebra (K=16),risk_coverage,0.4167785234899329,0.2332402101559749,16
source_active_gds_ebra (K=16),risk_coverage,0.45838926174496647,0.2374606083722164,16
source_active_gds_ebra (K=16),risk_coverage,0.5001118568232662,0.24360858563770657,16
source_active_gds_ebra (K=16),risk_coverage,0.5417225950782998,0.25019728598894064,16
source_active_gds_ebra (K=16),risk_coverage,0.5833333333333334,0.2566784330713044,16
source_active_gds_ebra (K=16),risk_coverage,0.6250559284116332,0.26427906705167536,16
source_active_gds_ebra (K=16),risk_coverage,0.6666666666666666,0.27115920607078653,16
source_active_gds_ebra (K=16),risk_coverage,0.7083892617449664,0.27728399001116927,16
source_active_gds_ebra (K=16),risk_coverage,0.75,0.28259974304245167,16
source_active_gds_ebra (K=16),risk_coverage,0.7917225950782998,0.28844289850530136,16
source_active_gds_ebra (K=16),risk_coverage,0.8333333333333334,0.2954605873183016,16
source_active_gds_ebra (K=16),risk_coverage,0.8750559284116332,0.30925881039606834,16
source_active_gds_ebra (K=16),risk_coverage,0.9166666666666666,0.33319222831249384,16
source_active_gds_ebra (K=16),risk_coverage,0.9583892617449664,0.36217297589785435,16
source_active_gds_ebra (K=16),risk_coverage,1.0,0.4035075035651708,16
source_all_cached_descriptors_ebra (K=16),calibration,0.5,0.9874379995550134,16
source_all_cached_descriptors_ebra (K=16),calibration,0.8,0.999617510805454,16
source_all_cached_descriptors_ebra (K=16),calibration,0.9,1.0,16
source_all_cached_descriptors_ebra (K=16),calibration,0.95,1.0,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.00011185682326621924,0.05167462315145686,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.04172259507829978,0.16826006026628804,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.08344519015659956,0.17372020167992874,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.1250559284116331,0.18208981000379668,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.16677852348993288,0.1898302136897057,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.20838926174496644,0.19717266055059068,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.2501118568232662,0.2034360204146816,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.2917225950782998,0.21028046428181116,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.33344519015659957,0.216226583229337,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.3750559284116331,0.22006042311389118,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.4167785234899329,0.22385818364349042,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.45838926174496647,0.22742131253849177,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.5001118568232662,0.23247252261207738,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.5417225950782998,0.23656758849964282,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.5833333333333334,0.24121324807419844,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.6250559284116332,0.24606598122982676,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.6666666666666666,0.24990224047880463,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.7083892617449664,0.25475814921600487,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.75,0.25910446022137246,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.7917225950782998,0.26309927180101206,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.8333333333333334,0.2673931312987837,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.8750559284116332,0.2736414338368684,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.9166666666666666,0.2902389320893907,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,0.9583892617449664,0.30812642006785473,16
source_all_cached_descriptors_ebra (K=16),risk_coverage,1.0,0.3326359802295248,16
source_control_ebra (K=16),calibration,0.5,0.718743020824261,16
source_control_ebra (K=16),calibration,0.8,0.9452016297570082,16
source_control_ebra (K=16),calibration,0.9,0.975255186294444,16
source_control_ebra (K=16),calibration,0.95,0.9818442203949863,16
source_control_ebra (K=16),risk_coverage,0.00011185682326621924,0.14962996901902362,16
source_control_ebra (K=16),risk_coverage,0.04172259507829978,0.2658155359779986,16
source_control_ebra (K=16),risk_coverage,0.08344519015659956,0.2847313103583277,16
source_control_ebra (K=16),risk_coverage,0.1250559284116331,0.2999709872475403,16
source_control_ebra (K=16),risk_coverage,0.16677852348993288,0.30427782608637244,16
source_control_ebra (K=16),risk_coverage,0.20838926174496644,0.30598289261628414,16
source_control_ebra (K=16),risk_coverage,0.2501118568232662,0.3058108979333294,16
source_control_ebra (K=16),risk_coverage,0.2917225950782998,0.30658391428942294,16
source_control_ebra (K=16),risk_coverage,0.33344519015659957,0.30671095842951557,16
source_control_ebra (K=16),risk_coverage,0.3750559284116331,0.3067008323093186,16
source_control_ebra (K=16),risk_coverage,0.4167785234899329,0.3065021741081276,16
source_control_ebra (K=16),risk_coverage,0.45838926174496647,0.30627550462465863,16
source_control_ebra (K=16),risk_coverage,0.5001118568232662,0.3063926289250136,16
source_control_ebra (K=16),risk_coverage,0.5417225950782998,0.30675261523893016,16
source_control_ebra (K=16),risk_coverage,0.5833333333333334,0.3081639083790397,16
source_control_ebra (K=16),risk_coverage,0.6250559284116332,0.3085906662756815,16
source_control_ebra (K=16),risk_coverage,0.6666666666666666,0.3099409660096481,16
source_control_ebra (K=16),risk_coverage,0.7083892617449664,0.31005123325426515,16
source_control_ebra (K=16),risk_coverage,0.75,0.3103336334477405,16
source_control_ebra (K=16),risk_coverage,0.7917225950782998,0.3109115302959228,16
source_control_ebra (K=16),risk_coverage,0.8333333333333334,0.3112338920700647,16
source_control_ebra (K=16),risk_coverage,0.8750559284116332,0.3116322343925012,16
source_control_ebra (K=16),risk_coverage,0.9166666666666666,0.31255112355792103,16
source_control_ebra (K=16),risk_coverage,0.9583892617449664,0.31507660560382994,16
source_control_ebra (K=16),risk_coverage,1.0,0.320467192687602,16
source_control_foundation (K=16),calibration,0.5,0.2643345806084556,16
source_control_foundation (K=16),calibration,0.8,0.4681614453764816,16
source_control_foundation (K=16),calibration,0.9,0.5600080427947735,16
source_control_foundation (K=16),calibration,0.95,0.6395368053030324,16
source_control_foundation (K=16),risk_coverage,0.00011185682326621924,0.2864294316239128,16
source_control_foundation (K=16),risk_coverage,0.04172259507829978,0.5573201270013413,16
source_control_foundation (K=16),risk_coverage,0.08344519015659956,0.6087683583650875,16
source_control_foundation (K=16),risk_coverage,0.1250559284116331,0.6405786958785892,16
source_control_foundation (K=16),risk_coverage,0.16677852348993288,0.6701228029047135,16
source_control_foundation (K=16),risk_coverage,0.20838926174496644,0.6643272532698485,16
source_control_foundation (K=16),risk_coverage,0.2501118568232662,0.6861216121704753,16
